Wind speed,Linear,Nonlinear,IMF1+IMF2,Linear_Subseries,Nonlinear(t-1),Nonlinear(t-2),Nonlinear(t-3),Nonlinear(t-4),Linear_Pred,Nonlinear_Pred,y(t-1),y(t-2),y(t-3),y(t-4),Linear_Subseries_Pred
6.670 ,6.452 ,0.214 ,0.578 ,6.089 ,0.025 ,-0.219 ,0.137 ,0.288 ,6.534 ,0.120 ,6.456 ,6.111 ,6.211 ,5.959 ,6.097 
6.160 ,6.337 ,-0.174 ,0.177 ,5.986 ,0.214 ,0.025 ,-0.219 ,0.137 ,6.393 ,-0.178 ,6.667 ,6.456 ,6.111 ,6.211 ,5.987 
6.010 ,6.008 ,0.005 ,0.183 ,5.830 ,-0.174 ,0.214 ,0.025 ,-0.219 ,6.097 ,-0.025 ,6.163 ,6.667 ,6.456 ,6.111 ,5.834 
5.560 ,5.469 ,0.092 ,-0.072 ,5.633 ,0.005 ,-0.174 ,0.214 ,0.025 ,5.652 ,0.078 ,6.013 ,6.163 ,6.667 ,6.456 ,5.639 
4.960 ,4.976 ,-0.015 ,-0.446 ,5.407 ,0.092 ,0.005 ,-0.174 ,0.214 ,4.928 ,-0.024 ,5.561 ,6.013 ,6.163 ,6.667 ,5.413 
4.600 ,4.702 ,-0.098 ,-0.558 ,5.162 ,-0.015 ,0.092 ,0.005 ,-0.174 ,4.808 ,-0.063 ,4.961 ,5.561 ,6.013 ,6.163 ,5.169 
4.550 ,4.494 ,0.060 ,-0.355 ,4.910 ,-0.098 ,-0.015 ,0.092 ,0.005 ,4.594 ,0.103 ,4.604 ,4.961 ,5.561 ,6.013 ,4.914 
4.260 ,4.198 ,0.066 ,-0.397 ,4.661 ,0.060 ,-0.098 ,-0.015 ,0.092 ,4.199 ,0.076 ,4.555 ,4.604 ,4.961 ,5.561 ,4.663 
3.890 ,3.986 ,-0.092 ,-0.528 ,4.422 ,0.066 ,0.060 ,-0.098 ,-0.015 ,3.914 ,-0.080 ,4.264 ,4.555 ,4.604 ,4.961 ,4.425 
4.040 ,4.093 ,-0.055 ,-0.165 ,4.204 ,-0.092 ,0.066 ,0.060 ,-0.098 ,4.063 ,0.022 ,3.894 ,4.264 ,4.555 ,4.604 ,4.200 
4.510 ,4.404 ,0.102 ,0.490 ,4.016 ,-0.055 ,-0.092 ,0.066 ,0.060 ,4.381 ,0.172 ,4.039 ,3.894 ,4.264 ,4.555 ,4.015 
4.540 ,4.542 ,0.002 ,0.676 ,3.868 ,0.102 ,-0.055 ,-0.092 ,0.066 ,4.586 ,0.023 ,4.506 ,4.039 ,3.894 ,4.264 ,3.863 
4.320 ,4.309 ,0.014 ,0.554 ,3.770 ,0.002 ,0.102 ,-0.055 ,-0.092 ,4.383 ,-0.070 ,4.543 ,4.506 ,4.039 ,3.894 ,3.763 
3.630 ,3.834 ,-0.200 ,-0.097 ,3.732 ,0.014 ,0.002 ,0.102 ,-0.055 ,3.944 ,-0.092 ,4.324 ,4.543 ,4.506 ,4.039 ,3.722 
3.710 ,3.415 ,0.291 ,-0.056 ,3.762 ,-0.200 ,0.014 ,0.002 ,0.102 ,3.447 ,0.273 ,3.634 ,4.324 ,4.543 ,4.506 ,3.749 
3.250 ,3.343 ,-0.089 ,-0.615 ,3.869 ,0.291 ,-0.200 ,0.014 ,0.002 ,3.249 ,-0.116 ,3.706 ,3.634 ,4.324 ,4.543 ,3.855 
3.780 ,3.859 ,-0.084 ,-0.283 ,4.059 ,-0.089 ,0.291 ,-0.200 ,0.014 ,3.583 ,-0.131 ,3.254 ,3.706 ,3.634 ,4.324 ,4.046 
4.690 ,4.624 ,0.070 ,0.374 ,4.320 ,-0.084 ,-0.089 ,0.291 ,-0.200 ,4.683 ,0.066 ,3.775 ,3.254 ,3.706 ,3.634 ,4.317 
5.000 ,5.040 ,-0.037 ,0.366 ,4.637 ,0.070 ,-0.084 ,-0.089 ,0.291 ,4.991 ,0.050 ,4.694 ,3.775 ,3.254 ,3.706 ,4.623 
5.360 ,5.095 ,0.269 ,0.369 ,4.995 ,-0.037 ,0.070 ,-0.084 ,-0.089 ,4.955 ,0.072 ,5.003 ,4.694 ,3.775 ,3.254 ,4.986 
5.020 ,5.309 ,-0.293 ,-0.363 ,5.379 ,0.269 ,-0.037 ,0.070 ,-0.084 ,5.203 ,-0.382 ,5.365 ,5.003 ,4.694 ,3.775 ,5.369 
5.970 ,5.954 ,0.016 ,0.200 ,5.770 ,-0.293 ,0.269 ,-0.037 ,0.070 ,5.851 ,0.042 ,5.016 ,5.365 ,5.003 ,4.694 ,5.766 
6.660 ,6.456 ,0.200 ,0.506 ,6.149 ,0.016 ,-0.293 ,0.269 ,-0.037 ,6.617 ,0.221 ,5.970 ,5.016 ,5.365 ,5.003 ,6.146 
6.600 ,6.439 ,0.162 ,0.100 ,6.500 ,0.200 ,0.016 ,-0.293 ,0.269 ,6.299 ,-0.108 ,6.656 ,5.970 ,5.016 ,5.365 ,6.498 
5.980 ,6.448 ,-0.466 ,-0.835 ,6.816 ,0.162 ,0.200 ,0.016 ,-0.293 ,6.248 ,-0.492 ,6.601 ,6.656 ,5.970 ,5.016 ,6.810 
7.420 ,7.119 ,0.306 ,0.316 ,7.109 ,-0.466 ,0.162 ,0.200 ,0.016 ,6.961 ,0.269 ,5.981 ,6.601 ,6.656 ,5.970 ,7.092 
8.190 ,8.027 ,0.159 ,0.790 ,7.396 ,0.306 ,-0.466 ,0.162 ,0.200 ,8.121 ,0.095 ,7.425 ,5.981 ,6.601 ,6.656 ,7.391 
8.270 ,8.473 ,-0.198 ,0.579 ,7.696 ,0.159 ,0.306 ,-0.466 ,0.162 ,8.299 ,-0.319 ,8.186 ,7.425 ,5.981 ,6.601 ,7.685 
8.450 ,8.453 ,-0.004 ,0.428 ,8.021 ,-0.198 ,0.159 ,0.306 ,-0.466 ,8.449 ,-0.103 ,8.275 ,8.186 ,7.425 ,5.981 ,8.016 
8.580 ,8.373 ,0.203 ,0.210 ,8.366 ,-0.004 ,-0.198 ,0.159 ,0.306 ,8.443 ,0.101 ,8.449 ,8.275 ,8.186 ,7.425 ,8.371 
8.280 ,8.428 ,-0.146 ,-0.437 ,8.719 ,0.203 ,-0.004 ,-0.198 ,0.159 ,8.420 ,-0.140 ,8.576 ,8.449 ,8.275 ,8.186 ,8.713 
8.730 ,8.597 ,0.137 ,-0.330 ,9.065 ,-0.146 ,0.203 ,-0.004 ,-0.198 ,8.502 ,-0.027 ,8.282 ,8.576 ,8.449 ,8.275 ,9.063 
8.760 ,8.895 ,-0.131 ,-0.626 ,9.390 ,0.137 ,-0.146 ,0.203 ,-0.004 ,8.802 ,-0.154 ,8.735 ,8.282 ,8.576 ,8.449 ,9.388 
9.670 ,9.506 ,0.163 ,-0.005 ,9.675 ,-0.131 ,0.137 ,-0.146 ,0.203 ,9.236 ,0.079 ,8.764 ,8.735 ,8.282 ,8.576 ,9.682 
10.140 ,10.255 ,-0.114 ,0.243 ,9.898 ,0.163 ,-0.131 ,0.137 ,-0.146 ,10.285 ,-0.110 ,9.669 ,8.764 ,8.735 ,8.282 ,9.909 
10.770 ,10.708 ,0.065 ,0.733 ,10.039 ,-0.114 ,0.163 ,-0.131 ,0.137 ,10.672 ,0.014 ,10.141 ,9.669 ,8.764 ,8.735 ,10.053 
10.650 ,10.576 ,0.071 ,0.565 ,10.082 ,0.065 ,-0.114 ,0.163 ,-0.131 ,10.715 ,-0.016 ,10.772 ,10.141 ,9.669 ,8.764 ,10.092 
9.980 ,10.113 ,-0.130 ,-0.058 ,10.040 ,0.071 ,0.065 ,-0.114 ,0.163 ,10.124 ,-0.136 ,10.648 ,10.772 ,10.141 ,9.669 ,10.034 
9.870 ,9.785 ,0.089 ,-0.057 ,9.932 ,-0.130 ,0.071 ,0.065 ,-0.114 ,9.848 ,0.073 ,9.983 ,10.648 ,10.772 ,10.141 ,9.945 
9.790 ,9.745 ,0.041 ,0.009 ,9.777 ,0.089 ,-0.130 ,0.071 ,0.065 ,9.754 ,0.006 ,9.874 ,9.983 ,10.648 ,10.772 ,9.783 
9.610 ,9.746 ,-0.132 ,0.020 ,9.594 ,0.041 ,0.089 ,-0.130 ,0.071 ,9.809 ,-0.084 ,9.785 ,9.874 ,9.983 ,10.648 ,9.605 
9.620 ,9.514 ,0.104 ,0.216 ,9.403 ,-0.132 ,0.041 ,0.089 ,-0.130 ,9.581 ,0.107 ,9.614 ,9.785 ,9.874 ,9.983 ,9.407 
9.100 ,9.091 ,0.008 ,-0.124 ,9.223 ,0.104 ,-0.132 ,0.041 ,0.089 ,9.153 ,0.009 ,9.619 ,9.614 ,9.785 ,9.874 ,9.223 
8.680 ,8.790 ,-0.113 ,-0.395 ,9.073 ,0.008 ,0.104 ,-0.132 ,0.041 ,8.764 ,-0.047 ,9.099 ,9.619 ,9.614 ,9.785 ,9.071 
8.770 ,8.716 ,0.059 ,-0.197 ,8.972 ,-0.113 ,0.008 ,0.104 ,-0.132 ,8.796 ,0.117 ,8.677 ,9.099 ,9.619 ,9.614 ,8.966 
8.690 ,8.690 ,0.000 ,-0.251 ,8.940 ,0.059 ,-0.113 ,0.008 ,0.104 ,8.693 ,0.076 ,8.775 ,8.677 ,9.099 ,9.619 ,8.933 
8.630 ,8.628 ,0.003 ,-0.366 ,8.997 ,0.000 ,0.059 ,-0.113 ,0.008 ,8.576 ,0.032 ,8.690 ,8.775 ,8.677 ,9.099 ,8.983 
8.610 ,8.719 ,-0.104 ,-0.539 ,9.153 ,0.003 ,0.000 ,0.059 ,-0.113 ,8.613 ,-0.010 ,8.631 ,8.690 ,8.775 ,8.677 ,9.147 
9.220 ,9.178 ,0.041 ,-0.174 ,9.392 ,-0.104 ,0.003 ,0.000 ,0.059 ,9.024 ,0.159 ,8.615 ,8.631 ,8.690 ,8.775 ,9.394 
10.050 ,9.924 ,0.126 ,0.359 ,9.691 ,0.041 ,-0.104 ,0.003 ,0.000 ,9.780 ,0.126 ,9.219 ,8.615 ,8.631 ,8.690 ,9.680 
